School Year,Major Program Name,"Totals, Male: Asian (Tot. M)","Totals, Male: Black/African American (Tot. M)","Totals, Male: Hispanics of any race (Tot. M)","Totals, Male: American Indian/Alaska Native (Tot. M)","Totals, Male: Native Hawaiian/Other Pacific Islander (Tot. M)","Totals, Male: White (Tot. M)",Total
2015-2016,Electrical & Computer Engineering,1,0,203,1,1,12,218
2015-2016,Electrical Engineering,193,90,208,10,2,1370,1873
2015-2016,Electrical and Computer Engineering,156,53,163,1,1,495,869
2015-2016,"Electrical, Electronics and Communications Engineering",3,9,2,2,0,100,116
2015-2016,Engineering Technology,83,45,332,6,3,978,1447
2015-2016,Game Design,0,7,3,2,0,39,51
2015-2016,General Engineering ,22,2,4,0,0,65,93
2015-2016,Industrial Distribution,32,19,103,2,1,478,635
2015-2016,Informatics,23,29,20,1,1,68,142
2015-2016,Information Assurance/Cybersecurity,3,7,5,0,0,117,132
2015-2016,Information Science,60,40,28,0,4,166,298
2015-2016,Information Sciences,0,0,1,0,0,11,12
2015-2016,Information Technology,96,157,369,6,2,808,1438
2015-2016,Information Technology ,144,28,52,0,1,166,391
2015-2016,Management Information Systems,62,33,50,6,2,500,653
2015-2016,Manufacturing Engineering ,5,2,21,0,0,33,61
2015-2016,Mechanical Engineering,329,113,376,40,15,3669,4542
2015-2016,Software Engineering,21,19,24,2,3,457,526
2015-2016,Web Design ,4,0,0,0,0,5,9
2016-2017,CS and/or Eng Multiple Majors (data submitted in aggregation),804,81,124,4,3,257,1273
2016-2017,Civil Engineering,3,0,134,0,0,6,143
2016-2017,Computer Engineering,167,33,100,1,0,961,1262
2016-2017,Computer Science,1315,164,417,5,1,1956,3858
2016-2017,Computer Science + X,21,12,8,0,0,55,96
2016-2017,Computer Software and Media Applications,34,20,27,0,1,214,296
2016-2017,Electrical & Computer Engineering,0,2,209,1,0,16,228
2016-2017,Electrical Engineering,39,18,57,2,1,741,858
2016-2017,Electrical and Computer Engineering,51,26,15,0,0,101,193
2016-2017,General Engineering ,1,4,4,0,0,76,85
2016-2017,Information Science,49,25,16,0,6,122,218
2016-2017,Information Technology,44,16,15,0,0,289,364
2016-2017,Management Information Systems,19,8,7,0,0,179,213
2016-2017,Mechanical Engineering,148,38,127,5,3,1509,1830
2016-2017,Software Engineering,26,11,30,2,1,443,513
2016-2017,Web Design ,3,0,3,0,0,3,9
